source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason
/books/OL23208357M,Resilience,reflections on the burdens and gifts of facing life's adversities,Elizabeth Edwards,1,9781410417220,2009,Thorndike Press,Biographie | Philosophie,0,KEEP_CORE,"Ouvrage anglophone cohérent ; langue, édition et métadonnées compatibles avec le corpus EN."
/books/OL12877508M,New World,Creating an American Art,Elizabeth Nakin Kornhauser,1,9783777434155,2007,Hirmer Verlag GmbH,,0,KEEP_CORE,"Ouvrage anglophone cohérent ; langue, édition et métadonnées compatibles avec le corpus EN."
/books/OL141177M,Treasure in clay jars,,Elizabeth Ostrander Sutton,1,9780875743462,1999,Pendle Hill Publications,Arts,0,KEEP_CORE,"Ouvrage anglophone cohérent ; langue, édition et métadonnées compatibles avec le corpus EN."
/books/OL21354095M,Origins of the State and civilization,the process of cultural evolution.,Elman R. Service,1,9780393092240,1975,W. W. Norton,Histoire | Sciences,0,KEEP_CORE,"Ouvrage anglophone cohérent ; langue, édition et métadonnées compatibles avec le corpus EN."
/books/OL12731252M,Liber de pomo / Buch vom Apfel.,,Elsbeth Acampora-Michel,1,9783465031055,2001,Klostermann,,0,REPLACE,Notice hors corpus EN ou bibliographiquement inadéquate : langue étrangère manifeste ou métadonnées trop dégradées.
/books/OL22236561M,Contemporary philosophy - since 1850,,Emile Bréhier,1,,1969,University of Chicago Press,Histoire | Philosophie,0,KEEP_TRANSLATION,Édition/traduction anglaise identifiable d’une œuvre ou d’un auteur non anglophone.
/books/OL15481186M,The seventeenth century,,Emile Bréhier,1,9780226072258,1966,University of Chicago Press,,0,KEEP_TRANSLATION,Édition/traduction anglaise identifiable d’une œuvre ou d’un auteur non anglophone.
/books/OL12737679M,Writer on the Run,,Ena Pedersen,1,9783484651333,2001,,Biographie,0,REVIEW,"Notice plausible mais langue, responsabilité bibliographique, nature éditoriale ou qualité des métadonnées à confirmer."
/books/OL12845301M,Storm,Using RS for Improved Monitoring and Prediction of Heavy Rainfall and Related Events (Remote Sensing Reviews Series),Eric Barrett,1,9789057021015,1996,Taylor & Francis,,0,KEEP_CORE,"Ouvrage anglophone cohérent ; langue, édition et métadonnées compatibles avec le corpus EN."
/books/OL12664864M,Sites of the Uncanny,"Paul Celan, Specularity and the Visual Arts (Interdisciplinary German Cultural Studies 3) (Interdisciplinary German Cultural Studies)",Eric Kligerman,1,9783110191356,2007,Walter De Gruyter,,0,KEEP_CORE,"Ouvrage anglophone cohérent ; langue, édition et métadonnées compatibles avec le corpus EN."
/books/OL12867114M,Times of the Signs: Communication and Information,A Visual Analysis of New Urban Spaces,Eric Sadin,1,9783764383671,2007,Birkhäuser Basel,,0,KEEP_TRANSLATION,Édition/traduction anglaise identifiable d’une œuvre ou d’un auteur non anglophone.
/books/OL13182964M,The Troll Boy and the Witch,,Erik Arpi,1,9788276701364,2005,Pictura Normann,Fiction,0,KEEP_TRANSLATION,Édition/traduction anglaise identifiable d’une œuvre ou d’un auteur non anglophone.
